SOURCE: https://en.wikipedia.org/wiki/List_of_formations_of_the_United_States_Army_during_World_War_II
6th Airborne Division
9th Airborne Division
11th Airborne Division
13th Airborne Division
15th Airborne Division
17th Airborne Division
18th Airborne Division
21st Airborne Division
82nd Airborne Division
101st Airborne Division
135th Airborne Division
